Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
12, 0.02, 0.0662154, 0.00210506, 0.0263744, 0.0469699
12, 0.025, 0.0800066, 0.00301043, 0.0342468, 0.0642292
12, 0.03, 0.0931286, 0.0041321, 0.0426522, 0.0814589
12, 0.035, 0.105742, 0.00550478, 0.0513639, 0.0987074
12, 0.04, 0.118044, 0.00721199, 0.0602588, 0.11639
12, 0.045, 0.130426, 0.00938735, 0.0692103, 0.135979
12, 0.05, 0.143536, 0.0121608, 0.0780751, 0.160439
12, 0.055, 0.158041, 0.0155014, 0.0866759, 0.193596
12, 0.06, 0.174006, 0.0190149, 0.0946771, 0.237897
12, 0.065, 0.190254, 0.0220115, 0.101763, 0.290057
12, 0.07, 0.204835, 0.0240448, 0.10826, 0.339047
12, 0.075, 0.208261, 0.0206766, 0.112979, 0.328912
12, 0.08, 0.183804, 0.0192257, 0.0929759, 0.259005
12, 0.085, 0.196188, 0.0202476, 0.100293, 0.289754
12, 0.09, 0.208385, 0.0212835, 0.107744, 0.320633
12, 0.095, 0.220754, 0.0225234, 0.115045, 0.355101
13, 0, 0.00424723, 0.000346885, 0.00263702, 0.00022972
13, 0.005, 0.0252213, 0.000501627, -0.0119072, 0.00483892
13, 0.01, 0.0456187, 0.000938329, -0.0224159, 0.0162687
13, 0.015, 0.0647809, 0.00162273, -0.0281611, 0.0318914
13, 0.02, 0.0828282, 0.00253451, -0.0304028, 0.0500229
13, 0.025, 0.100023, 0.00366384, -0.0303928, 0.0699114
13, 0.03, 0.116568, 0.00501165, -0.0289066, 0.0911876
13, 0.035, 0.132578, 0.00659794, -0.0262734, 0.113494
13, 0.04, 0.148149, 0.00847382, -0.0226317, 0.136489
13, 0.045, 0.163496, 0.0107319, -0.0182881, 0.160312
13, 0.05, 0.179109, 0.0134924, -0.0140769, 0.186423
13, 0.055, 0.195747, 0.0168148, -0.0114475, 0.2182
13, 0.06, 0.21399, 0.0205158, -0.0119739, 0.259942
13, 0.065, 0.233392, 0.024067, -0.0160685, 0.31311
13, 0.07, 0.252252, 0.0269084, -0.0216, 0.372022
13, 0.075, 0.268628, 0.0288242, -0.0248159, 0.425481
13, 0.08, 0.237162, 0.0207689, -0.0465398, 0.408944
13, 0.085, 0.253095, 0.024518, -0.0547695, 0.475407
13, 0.09, 0.268605, 0.0260629, -0.0544736, 0.52609
13, 0.095, 0.284208, 0.0277984, -0.0545239, 0.580388
14, 0, 0.00375029, 0.000344411, -0.00170037, 0.000554244
14, 0.005, 0.0270831, 0.000512546, 0.0174514, 0.00632307
14, 0.01, 0.0498468, 0.00100411, 0.0342469, 0.0198764
14, 0.015, 0.0713093, 0.00178051, 0.0482822, 0.0385193
14, 0.02, 0.0915505, 0.00280702, 0.060426, 0.0605813
14, 0.025, 0.110841, 0.00406104, 0.0714315, 0.0853973
14, 0.03, 0.129407, 0.00553056, 0.0817274, 0.112705
14, 0.035, 0.147398, 0.00721493, 0.0915135, 0.142339
14, 0.04, 0.164914, 0.00912714, 0.100875, 0.174185
